Index,date,dateTime,open_Binance,high_Binance,low_Binance,close_Binance,volume_Binance,open_Bybit,high_Bybit,low_Bybit,close_Bybit,volume_Bybit,change_Binance,change_Bybit,arbitrage
0.0,2024-02-05 15:45:00,1707144300000.0,2323.88,2325.86,2317.29,2319.03,3432.7318,2323.89,2325.5,2316.96,2318.4,113382.5,-0.20870268688572166,-0.23624181867471275,0
1.0,2024-02-05 16:00:00,1707145200000.0,2319.03,2319.03,2309.56,2313.27,4818.6142,2318.4,2318.4,2310.9,2312.67,155692.92,-0.24837971048240937,-0.24715320910973163,0
2.0,2024-02-05 16:15:00,1707146100000.0,2313.27,2313.59,2305.58,2308.83,4072.5845,2312.67,2312.69,2306.23,2308.73,164854.31,-0.191936090469338,-0.1703658541858568,0
3.0,2024-02-05 16:30:00,1707147000000.0,2308.83,2313.33,2302.08,2304.12,3717.6033,2308.73,2312.93,2302.35,2303.71,113679.67,-0.2035663084765798,-0.217435559809938,0
4.0,2024-02-05 16:45:00,1707147900000.0,2304.13,2308.95,2294.21,2298.71,6936.8345,2303.71,2307.36,2294.21,2297.95,193083.36,-0.23479577975202395,-0.25003147097508877,0
5.0,2024-02-05 17:00:00,1707148800000.0,2298.72,2300.75,2291.0,2297.48,6099.4843,2297.95,2300.43,2292.07,2298.44,167349.73,-0.05394306396602378,0.021323353423714025,0
6.0,2024-02-05 17:15:00,1707149700000.0,2297.48,2300.47,2291.0,2292.93,5457.3353,2298.44,2300.52,2290.67,2292.29,126214.78,-0.19804307328029763,-0.2675727885000301,0
7.0,2024-02-05 17:30:00,1707150600000.0,2292.93,2297.5,2292.65,2294.25,3751.8117,2292.29,2296.75,2292.27,2294.65,103219.59,0.05713214097246516,0.1029538147442133,0
8.0,2024-02-05 17:45:00,1707151500000.0,2294.24,2302.54,2294.24,2301.54,2458.1187,2294.65,2302.24,2294.15,2301.56,81331.03,0.3186240323593173,0.30113524938443137,0
9.0,2024-02-05 18:00:00,1707152400000.0,2301.55,2303.11,2298.81,2302.86,1468.7837,2301.56,2303.0,2298.75,2303.0,69619.68,0.05691816384610134,0.06256625940666567,0
