,date,dateTime,open,high,low,close,volume
0,2022-09-21 13:45:00,1663760700000,19155.5,19456,19100,19168,2932.597
1,2022-09-21 14:00:00,1663761600000,19168,19312,19100,19156.5,564.252
2,2022-09-21 14:15:00,1663762500000,19156.5,19183,19100,19183,262.478
3,2022-09-21 14:30:00,1663763400000,19183,19378,19091.5,19239.5,541.199
4,2022-09-21 14:45:00,1663764300000,19239.5,19299.5,19211,19244.5,1035.513
5,2022-09-21 15:00:00,1663765200000,19244.5,19446,19105,19297.5,1009.297
6,2022-09-21 15:15:00,1663766100000,19297.5,19440.5,19227,19282,1027.599
7,2022-09-21 15:30:00,1663767000000,19282,19373.5,19240.5,19269.5,796.92
8,2022-09-21 15:45:00,1663767900000,19269.5,19337,19128.5,19267,688.865
9,2022-09-21 16:00:00,1663768800000,19267,19430,19189.5,19322,391.604
10,2022-09-21 16:15:00,1663769700000,19322,19506,19285.5,19467,519.586
11,2022-09-21 16:30:00,1663770600000,19467,19506,19311.5,19315,526.838
12,2022-09-21 16:45:00,1663771500000,19315,19350.5,19115,19247.5,549.334
13,2022-09-21 17:00:00,1663772400000,19247.5,19276,19038,19169.5,357.987
14,2022-09-21 17:15:00,1663773300000,19169.5,19196.5,19084,19187,664.79
15,2022-09-21 17:30:00,1663774200000,19187,19303,19186.5,19299,374.408
16,2022-09-21 17:45:00,1663775100000,19299,19311.5,19140,19197,443.769
17,2022-09-21 18:00:00,1663776000000,19197,19264,19158,19256,452.706
18,2022-09-21 18:15:00,1663776900000,19256,19311.5,19210,19266,346.595
19,2022-09-21 18:30:00,1663777800000,19266,19414.5,19249,19305.5,630.3
20,2022-09-21 18:45:00,1663778700000,19305.5,19305.5,19218.5,19236.5,586.458
21,2022-09-21 19:00:00,1663779600000,19236.5,19309,19209,19270,503.237
22,2022-09-21 19:15:00,1663780500000,19270,19295,19210.5,19292,119.656
23,2022-09-21 19:30:00,1663781400000,19292,19637.5,19292,19502.5,727.346
24,2022-09-21 19:45:00,1663782300000,19502.5,19707.5,19305.5,19664.5,1592.842
25,2022-09-21 20:00:00,1663783200000,19664.5,19808,18581,18864,3643.749
26,2022-09-21 20:15:00,1663784100000,18864,19132,18732.5,19065.5,527.89
27,2022-09-21 20:30:00,1663785000000,19065.5,19664.5,18967,19590,903.449
28,2022-09-21 20:45:00,1663785900000,19590,19768,19494,19610.5,2798.886
29,2022-09-21 21:00:00,1663786800000,19610.5,19733.5,19234.5,19481,637.448
30,2022-09-21 21:15:00,1663787700000,19481,19568,19166,19272,652.467
31,2022-09-21 21:30:00,1663788600000,19272,19284,18967.5,19027.5,586.363
32,2022-09-21 21:45:00,1663789500000,19027.5,19371.5,18981,19003.5,1955.632
33,2022-09-21 22:00:00,1663790400000,19003.5,19168,18877.5,19045,1088.034
34,2022-09-21 22:15:00,1663791300000,19045,19106.5,18733,18928.5,1686.967
35,2022-09-21 22:30:00,1663792200000,18928.5,19139,18800.5,18893.5,726.935
36,2022-09-21 22:45:00,1663793100000,18893.5,19048.5,18855.5,18926,318.875
37,2022-09-21 23:00:00,1663794000000,18926,18938.5,18510,18622,1486.007
38,2022-09-21 23:15:00,1663794900000,18622,18771,18278.5,18477.5,3401.811
39,2022-09-21 23:30:00,1663795800000,18477.5,18680.5,18200,18566,4245.826
